,age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,monthyear,outcome_subtype,outcome_type,sex_upon_outcome,location_lat,location_long,age_upon_outcome_in_weeks,name,breed_id,Chip_ID
20.0,1 year,A693126,Dog,American Bulldog Mix,White/Brown,2013-12-02,2/28/2015 17:42,2015-02-28T17:42:00,,Adoption,Neutered Male,30.5777123,-97.64388266,64.81964286,George,,
21.0,2 years,A730354,Dog,Pit Bull Mix,Blue/White,2015-07-02,7/1/2017 18:11,2017-07-01T18:11:00,,Adoption,Spayed Female,30.48156897,-97.36949609,104.3939484,Mia,,
22.0,5 years,A615748,Dog,Labrador Retriever Mix,Black,2009-12-11,10/26/2015 18:13,2015-10-26T18:13:00,Suffering,Euthanasia,Neutered Male,30.71720698,-97.29528331,306.537004,Blackie,,
23.0,2 years,A692137,Dog,Pit Bull Mix,Blue/White,2013-05-15,3/1/2016 15:26,2016-03-01T15:26:00,Partner,Transfer,Intact Male,30.36915965,-97.3810872,145.9490079,Shadow,,
24.0,3 weeks,A704707,Cat,Siamese Mix,Seal Point,2015-05-17,6/8/2015 16:25,2015-06-08T16:25:00,Partner,Transfer,Unknown,30.70993564,-97.69685334,3.240575397,,,
25.0,2 months,A725966,Cat,Domestic Shorthair Mix,Tortie,2016-03-20,5/24/2016 11:01,2016-05-24T11:01:00,,Adoption,Spayed Female,30.52017076,-97.53178243,9.351289683,*Star,,
26.0,1 year,A743231,Cat,Domestic Shorthair Mix,Black,2016-02-06,2/7/2017 9:00,2017-02-07T09:00:00,SCRP,Transfer,Intact Female,30.2920164,-97.42662919,52.48214286,,,
27.0,2 years,A764418,Dog,Chihuahua Shorthair Mix,Tan/White,2015-12-29,12/30/2017 11:58,2017-12-30T11:58:00,,Return to Owner,Neutered Male,30.27716894,-97.71227555,104.6426587,Burro,,
28.0,1 year,A743879,Dog,Pit Bull Mix,Black/White,2016-02-18,6/16/2017 14:58,2017-06-16T14:58:00,Partner,Transfer,Spayed Female,30.75736753,-97.46674216,69.23194444,*Tallulah,,
29.0,2 months,A756064,Cat,Domestic Shorthair Mix,Blue,2017-06-13,8/16/2017 0:00,2017-08-16T00:00:00,Partner,Transfer,Intact Male,30.29341166,-97.29019484,9.142857143,,,
30.0,3 years,A648094,Dog,Dachshund/Chihuahua Shorthair,Red,2012-11-21,7/21/2016 18:58,2016-07-21T18:58:00,,Adoption,Neutered Male,30.7173271,-97.48834083,191.255754,Brawndo,,
31.0,5 years,A651202,Dog,Maltese Mix,White,2009-04-07,9/6/2014 17:11,2014-09-06T17:11:00,,Return to Owner,Spayed Female,30.48740064,-97.73007411,282.6737103,Daisy,,
32.0,3 months,A687515,Cat,Domestic Shorthair Mix,Orange Tabby,2014-05-29,9/7/2014 18:30,2014-09-07T18:30:00,,Adoption,Spayed Female,30.53705367,-97.56848156,14.53869048,Dinah,,
33.0,2 years,A709958,Dog,Australian Cattle Dog Mix,Brown Brindle/White,2013-08-15,8/23/2015 19:23,2015-08-23T19:23:00,,Adoption,Intact Female,30.69373851,-97.57660032,105.5439484,Jack,,
34.0,3 months,A753983,Cat,Domestic Shorthair Mix,Orange Tabby,2017-04-13,7/16/2017 19:19,2017-07-16T19:19:00,Snr,Transfer,Unknown,30.43018877,-97.58375536,13.54355159,,,
35.0,7 years,A712377,Cat,Domestic Shorthair Mix,Brown Tabby/White,2008-09-22,9/23/2015 9:00,2015-09-23T09:00:00,SCRP,Transfer,Neutered Male,30.59149195,-97.64170614,365.3392857,,,
36.0,6 months,A706953,Dog,Labrador Retriever Mix,Yellow,2014-12-06,7/6/2015 11:33,2015-07-06T11:33:00,Medical,Euthanasia,Intact Female,30.54808024,-97.29699691,30.35446429,,,
37.0,3 months,A739519,Cat,Domestic Shorthair Mix,Brown Tabby,2016-11-06,2/11/2017 18:46,2017-02-11T18:46:00,,Adoption,Spayed Female,30.68318128,-97.24581916,13.96884921,Mojito,,
38.0,2 months,A760125,Cat,Domestic Shorthair Mix,White/Black,2017-07-29,10/17/2017 0:00,2017-10-17T00:00:00,Partner,Transfer,Neutered Male,30.5414257,-97.46339942,11.42857143,,,
39.0,1 year,A707145,Dog,Dachshund Mix,Brown/White,2014-07-08,7/10/2015 14:01,2015-07-10T14:01:00,Partner,Transfer,Intact Female,30.32625576,-97.58265481,52.51200397,Puppy,,
40.0,2 months,A710726,Cat,Domestic Shorthair Mix,Torbie,2015-08-04,10/24/2015 18:17,2015-10-24T18:17:00,,Adoption,Spayed Female,30.38500588,-97.52092098,11.68025794,*Zara,,
41.0,2 years,A699587,Dog,Miniature Poodle Mix,White,2013-03-30,4/3/2015 17:26,2015-04-03T17:26:00,,Adoption,Spayed Female,30.28807307,-97.70830367,104.9609127,Paisley,,
42.0,1 year,A691043,Dog,Pug/Chihuahua Shorthair,Tan/Black,2013-07-29,11/2/2014 12:50,2014-11-02T12:50:00,Partner,Transfer,Intact Male,30.60249091,-97.55654615,65.93353175,Thor,,
43.0,2 years,A697233,Dog,Pit Bull Mix,Tan/White,2013-02-20,4/5/2015 14:10,2015-04-05T14:10:00,Partner,Transfer,Neutered Male,30.30918992,-97.40739133,110.655754,*Tolliver,,
44.0,8 years,A724746,Cat,Domestic Shorthair Mix,Orange Tabby,2008-04-21,4/22/2016 14:25,2016-04-22T14:25:00,Partner,Transfer,Intact Male,30.37348254,-97.48765347,417.6572421,,,
45.0,6 years,A674774,Dog,German Shepherd/Labrador Retriever,Brown/Black,2008-03-18,3/19/2014 17:06,2014-03-19T17:06:00,,Return to Owner,Neutered Male,30.65866278,-97.58143998,313.2446429,Brownie,,
46.0,1 month,A683445,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-06-03,7/17/2014 7:55,2014-07-17T07:55:00,In Kennel,Died,Intact Male,30.49484256,-97.45888531,6.332837302,*Blynn,,
47.0,3 years,A672401,Dog,Siberian Husky Mix,Red/White,2011-02-09,2/9/2014 18:36,2014-02-09T18:36:00,,Return to Owner,Neutered Male,30.57311361,-97.43700345,156.6821429,Ziegen,,
48.0,1 year,A689217,Dog,Australian Cattle Dog/Beagle,White/Red,2013-09-30,10/11/2014 19:10,2014-10-11T19:10:00,,Adoption,Spayed Female,30.37078405,-97.37787508,53.82837302,Hot Dog,,
49.0,8 years,A742234,Dog,Yorkshire Terrier Mix,Brown/Black,2009-01-18,1/28/2017 11:17,2017-01-28T11:17:00,,Return to Owner,Neutered Male,30.35717928,-97.54670925,418.9243056,Coco,,
50.0,2 years,A721406,Dog,Labrador Retriever Mix,Cream/White,2014-02-26,5/4/2016 0:00,2016-05-04T00:00:00,,Adoption,Spayed Female,30.40951713,-97.41467687,114,Lanie,,
51.0,2 years,A680890,Dog,Miniature Poodle,White,2012-06-09,6/9/2014 18:21,2014-06-09T18:21:00,Suffering,Euthanasia,Intact Female,30.33199033,-97.55681744,104.3949405,,,
52.0,1 weeks,A723050,Cat,Domestic Shorthair Mix,Brown Tabby,2016-03-12,3/25/2016 18:49,2016-03-25T18:49:00,Partner,Transfer,Intact Male,30.35572526,-97.57433007,1.969146825,,,
53.0,4 weeks,A752695,Cat,Domestic Shorthair Mix,Brown Tabby/White,2017-05-26,6/27/2017 15:07,2017-06-27T15:07:00,Partner,Transfer,Intact Male,30.34659316,-97.31040717,4.66140873,,,
54.0,1 year,A715512,Cat,Domestic Shorthair Mix,Orange Tabby,2014-11-05,1/4/2016 0:00,2016-01-04T00:00:00,Partner,Transfer,Spayed Female,30.56026105,-97.29812215,60.71428571,*Lola,,
55.0,6 years,A699222,Dog,Beagle Mix,Tricolor,2009-06-14,6/19/2015 18:43,2015-06-19T18:43:00,Partner,Transfer,Neutered Male,30.75399569,-97.64060954,313.8256944,Scruffy,,
56.0,1 month,A728660,Cat,Domestic Shorthair Mix,Brown Tabby,2016-05-05,6/30/2016 13:25,2016-06-30T13:25:00,,Adoption,Intact Female,30.3384119,-97.50993768,8.079861111,Misty,,
57.0,7 years,A754845,Dog,Chow Chow Mix,Tan,2010-08-12,8/17/2017 16:03,2017-08-17T16:03:00,,Rto-Adopt,Spayed Female,30.54990388,-97.7055343,366.0955357,Coco,,
58.0,1 year,A730275,Dog,Chinese Sharpei Mix,Brown,2015-07-01,7/9/2016 17:53,2016-07-09T17:53:00,,Adoption,Spayed Female,30.58131511,-97.6206629,53.53501984,Chai,,
59.0,4 years,A689501,Dog,Chinese Crested Mix,Black/White,2010-10-04,10/9/2014 17:20,2014-10-09T17:20:00,,Adoption,Neutered Male,30.67946692,-97.57340233,209.531746,*Ping,,
60.0,2 months,A716822,Dog,Dachshund Mix,Red/White,2015-09-18,11/30/2015 16:53,2015-11-30T16:53:00,,Adoption,Spayed Female,30.52057505,-97.29186282,10.52906746,*Sally,,
61.0,1 year,A751029,Dog,Staffordshire Mix,Blue/White,2016-06-03,6/9/2017 18:23,2017-06-09T18:23:00,,Adoption,Spayed Female,30.31964759,-97.57250821,53.1094246,,,
62.0,1 year,A669824,Dog,Labrador Retriever Mix,Black,2013-07-27,11/15/2014 15:19,2014-11-15T15:19:00,Partner,Transfer,Neutered Male,30.61943385,-97.65793522,68.09117063,Jackson,,
63.0,2 years,A728144,Dog,Border Collie/Queensland Heeler,Black/White,2014-05-31,6/5/2016 15:43,2016-06-05T15:43:00,,Adoption,Spayed Female,30.2947529,-97.42794279,105.2364087,Lilly,,
64.0,1 year,A708999,Dog,Australian Cattle Dog Mix,Brown Brindle/White,2014-11-03,12/15/2015 11:00,2015-12-15T11:00:00,Foster,Adoption,Spayed Female,30.47034592,-97.68516405,58.20833333,*Daisy,,
65.0,10 years,A671822,Dog,German Shepherd Mix,Black/Tan,2006-01-31,10/11/2016 10:03,2016-10-11T10:03:00,Foster,Adoption,Neutered Male,30.71187663,-97.29993658,558.0598214,*Milo,,
66.0,6 months,A713150,Cat,Domestic Medium Hair Mix,Blue/White,2015-04-03,10/4/2015 9:00,2015-10-04T09:00:00,SCRP,Transfer,Unknown,30.64900565,-97.30064327,26.33928571,,,
67.0,12 years,A745946,Dog,Chihuahua Shorthair,White/Tan,2005-03-29,8/7/2017 12:47,2017-08-07T12:47:00,Foster,Adoption,Neutered Male,30.70033509,-97.57274898,644.9332341,*Toodles,,
68.0,4 years,A752436,Dog,Yorkshire Terrier Mix,Tricolor,2013-06-22,6/23/2017 16:48,2017-06-23T16:48:00,,Return to Owner,Neutered Male,30.5804325,-97.54040821,208.9571429,Rylie,,
69.0,3 years,A725549,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-04-30,6/12/2016 18:13,2016-06-12T18:13:00,,Adoption,Spayed Female,30.3496663,-97.33311828,162.8227183,Diz,,
70.0,3 months,A683276,Other,Raccoon Mix,Black/Gray,2014-04-08,7/9/2014 8:52,2014-07-09T08:52:00,Rabies Risk,Euthanasia,Unknown,30.51067461,-97.2826788,13.19563492,,,
71.0,2 years,A762414,Other,Raccoon,Gray/Black,2015-11-20,11/21/2017 8:20,2017-11-21T08:20:00,Suffering,Euthanasia,Unknown,30.37189262,-97.47742722,104.6210317,,,
72.0,1 year,A712292,Dog,Chihuahua Shorthair Mix,Tan/White,2014-09-20,9/21/2015 12:18,2015-09-21T12:18:00,,Return to Owner,Spayed Female,30.76455889,-97.63048225,52.35892857,Peanut,,
73.0,2 months,A666065,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-08-26,11/9/2013 18:14,2013-11-09T18:14:00,,Adoption,Spayed Female,30.54302876,-97.68624353,10.82281746,Sandy,,
74.0,9 years,A582826,Dog,Beagle,Tricolor,2005-08-26,8/18/2015 11:11,2015-08-18T11:11:00,,Return to Owner,Neutered Male,30.33616352,-97.45077998,520.637996,Charlie,,
75.0,5 months,A734883,Cat,Domestic Shorthair Mix,Blue Tabby/White,2016-04-14,9/27/2016 22:24,2016-09-27T22:24:00,,Adoption,Neutered Male,30.49847798,-97.59303322,23.84761905,,,
76.0,10 months,A703777,Cat,Domestic Shorthair Mix,Black Smoke,2015-04-21,3/11/2016 11:10,2016-03-11T11:10:00,Foster,Adoption,Spayed Female,30.44457432,-97.30198317,46.49503968,Whisper,,
77.0,4 years,A756786,Dog,Chihuahua Longhair/Yorkshire Terrier,White/Tan,2013-08-25,8/28/2017 19:08,2017-08-28T19:08:00,,Adoption,Neutered Male,30.47382989,-97.56716593,209.256746,Bebe,,
78.0,1 year,A690377,Dog,Pit Bull Mix,Black/White,2013-10-19,2/20/2015 15:07,2015-02-20T15:07:00,,Adoption,Neutered Male,30.58040417,-97.34413054,69.94712302,*Pagani,,
79.0,4 weeks,A674079,Other,Bat,Brown/Black,2014-02-07,3/7/2014 10:46,2014-03-07T10:46:00,Rabies Risk,Euthanasia,Unknown,30.76078922,-97.70866883,4.064087302,,,
80.0,4 months,A687309,Dog,Miniature Poodle Mix,Cream,2014-05-03,9/7/2014 16:48,2014-09-07T16:48:00,Partner,Transfer,Neutered Male,30.34981432,-97.33557631,18.24285714,,,
81.0,11 months,A678782,Cat,Domestic Shorthair Mix,Black,2014-03-28,3/2/2015 15:10,2015-03-02T15:10:00,Partner,Transfer,Neutered Male,30.29583866,-97.55849055,48.51884921,Fred,,
82.0,3 years,A723765,Dog,Queensland Heeler Mix,White/Red Merle,2013-04-06,4/6/2016 16:50,2016-04-06T16:50:00,,Return to Owner,Spayed Female,30.27694519,-97.31492229,156.671627,Dewie,,
83.0,4 years,A738497,Cat,Domestic Shorthair Mix,Brown Tabby,2012-11-16,12/22/2016 13:35,2016-12-22T13:35:00,Partner,Transfer,Spayed Female,30.68063452,-97.66787545,213.937996,*Kyleigh,,
84.0,1 year,A704521,Cat,Domestic Shorthair Mix,Orange Tabby,2014-06-05,6/24/2015 16:41,2015-06-24T16:41:00,Partner,Transfer,Spayed Female,30.49896344,-97.67515706,54.95644841,*Goldie,,
85.0,11 years,A323668,Dog,Australian Cattle Dog Mix,Tricolor,2003-05-15,3/6/2015 17:36,2015-03-06T17:36:00,,Return to Owner,Neutered Male,30.50798908,-97.55348875,616.247619,Ringo,,
86.0,6 years,A724022,Dog,Chihuahua Shorthair Mix,Tan/Red,2011-04-10,5/24/2017 16:15,2017-05-24T16:15:00,,Return to Owner,Neutered Male,30.40541623,-97.5924478,319.5252976,Pepe,,
87.0,1 year,A724478,Dog,Flat Coat Retriever Mix,Black,2015-04-18,5/4/2016 16:45,2016-05-04T16:45:00,,Adoption,Neutered Male,30.52659064,-97.64024461,54.67113095,Shadow,,
88.0,7 years,A663438,Dog,Labrador Retriever Mix,Sable,2006-09-18,6/14/2014 16:40,2014-06-14T16:40:00,,Adoption,Spayed Female,30.71339193,-97.30775521,403.8134921,Bonny,,
89.0,1 year,A724814,Cat,Domestic Shorthair Mix,Black,2015-04-22,6/28/2016 0:00,2016-06-28T00:00:00,,Adoption,Spayed Female,30.44652034,-97.67756338,61.85714286,*Oaxaca,,
90.0,4 months,A765965,Dog,Pointer Mix,Chocolate/White,2017-09-30,2/1/2018 16:11,2018-02-01T16:11:00,,Adoption,Spayed Female,30.31972316,-97.25627018,17.81061508,Coco,,
91.0,14 years,A724729,Cat,Domestic Longhair Mix,Calico,2002-04-21,4/24/2016 15:52,2016-04-24T15:52:00,,Return to Owner,Spayed Female,30.42510298,-97.64833639,731.0944444,Victoria,,
92.0,2 years,A725343,Dog,Pit Bull Mix,Brown Brindle/White,2014-04-28,7/13/2016 18:13,2016-07-13T18:13:00,,Adoption,Spayed Female,30.42835987,-97.35458626,115.3941468,Luna,,
93.0,2 months,A707888,Cat,Domestic Shorthair Mix,Brown Tabby/White,2015-05-04,7/25/2015 12:01,2015-07-25T12:01:00,,Adoption,Neutered Male,30.34820438,-97.35051545,11.78581349,Sammy,,
94.0,2 months,A682638,Cat,Domestic Shorthair Mix,Brown Tabby,2014-05-15,7/18/2014 17:08,2014-07-18T17:08:00,,Adoption,Spayed Female,30.32132108,-97.3396321,9.24484127,Marie,,
95.0,1 year,A742473,Cat,Domestic Shorthair Mix,Brown Tabby/Brown,2016-01-22,1/23/2017 9:00,2017-01-23T09:00:00,SCRP,Transfer,Spayed Female,30.64241024,-97.52576656,52.48214286,,,
96.0,4 months,A742468,Cat,Domestic Shorthair Mix,Black,2016-09-22,1/28/2017 16:57,2017-01-28T16:57:00,,Adoption,Spayed Female,30.63338637,-97.4648295,18.38660714,Jiji,,
97.0,2 weeks,A694902,Dog,Pit Bull Mix,White/Tricolor,2014-12-22,1/8/2015 12:39,2015-01-08T12:39:00,,Return to Owner,Intact Female,30.6508855,-97.49358322,2.503869048,,,
98.0,10 months,A761936,Dog,Scottish Terrier Mix,Brown Brindle,2017-01-12,11/16/2017 12:54,2017-11-16T12:54:00,Partner,Transfer,Intact Male,30.61119534,-97.42060967,44.07678571,,,
99.0,1 year,A679645,Dog,Boxer/Queensland Heeler,White/Black,2013-05-24,6/17/2014 18:18,2014-06-17T18:18:00,Behavior,Euthanasia,Neutered Male,30.49388078,-97.37954544,55.68035714,*Calvin,,
100.0,2 months,A665579,Cat,Domestic Shorthair Mix,Black,2013-08-19,11/4/2013 15:09,2013-11-04T15:09:00,Partner,Transfer,Neutered Male,30.62338383,-97.67180824,11.09017857,*Candy,,
101.0,1 year,A734988,Dog,Catahoula Mix,Brown Brindle/White,2015-09-16,1/3/2017 16:15,2017-01-03T16:15:00,,Adoption,Spayed Female,30.59386336,-97.29242243,67.95386905,*Avalon,,
102.0,4 months,A664597,Dog,Pit Bull Mix,Blue/White,2013-06-05,10/11/2013 14:00,2013-10-11T14:00:00,Partner,Transfer,Intact Female,30.35627644,-97.39334418,18.36904762,Phoebe,,
103.0,5 years,A763871,Dog,Great Pyrenees Mix,Cream,2012-06-18,12/18/2017 16:00,2017-12-18T16:00:00,,Return to Owner,Intact Male,30.35206139,-97.71263714,287.0952381,Guardian,,
104.0,2 years,A717889,Dog,Pit Bull Mix,White/Black,2013-12-17,1/21/2016 19:18,2016-01-21T19:18:00,,Adoption,Spayed Female,30.31064806,-97.32099504,109.4005952,Lulu,,
105.0,3 years,A705317,Dog,Boxer Mix,Brown Brindle/White,2012-06-16,6/23/2015 17:54,2015-06-23T17:54:00,,Adoption,Spayed Female,30.66172858,-97.27452998,157.535119,*Gretel,,
106.0,5 years,A722207,Dog,Labrador Retriever Mix,Red,2011-03-12,3/12/2016 18:11,2016-03-12T18:11:00,,Return to Owner,Spayed Female,30.47977633,-97.55793438,261.1082341,Honey,,
107.0,1 year,A681101,Cat,Domestic Shorthair Mix,Brown Tabby,2013-06-12,6/19/2014 14:36,2014-06-19T14:36:00,Partner,Transfer,Spayed Female,30.59178052,-97.73211734,53.2297619,Spaghetti,,
108.0,2 years,A732772,Cat,Domestic Shorthair Mix,Black/White,2014-08-13,8/13/2016 16:44,2016-08-13T16:44:00,Partner,Transfer,Intact Female,30.50725261,-97.5041827,104.5281746,,,
109.0,3 weeks,A736742,Cat,Domestic Shorthair Mix,Black Tabby,2016-09-24,10/16/2016 17:45,2016-10-16T17:45:00,Partner,Transfer,Unknown,30.44043841,-97.71263698,3.248511905,,,
110.0,7 months,A735432,Cat,Domestic Shorthair,White/Brown Tabby,2016-03-23,11/11/2016 12:39,2016-11-11T12:39:00,,Adoption,Spayed Female,30.46077836,-97.68553695,33.3610119,*Ninfa,,
111.0,6 years,A729315,Dog,Chihuahua Shorthair Mix,Tricolor,2010-01-16,6/20/2016 0:00,2016-06-20T00:00:00,Partner,Transfer,Spayed Female,30.51642112,-97.72124964,335.2857143,Abby,,
112.0,1 year,A748631,Dog,Chihuahua Shorthair Mix,Black,2016-05-04,5/8/2017 17:01,2017-05-08T17:01:00,,Adoption,Spayed Female,30.68789573,-97.24791016,52.8155754,,,
113.0,3 years,A669295,Dog,Labrador Retriever Mix,Brown,2010-12-18,4/4/2014 18:37,2014-04-04T18:37:00,,Adoption,Neutered Male,30.74707663,-97.26533295,171.9679563,Niko,,
114.0,10 months,A704099,Dog,American Bulldog Mix,White/Brown,2014-08-01,6/11/2015 16:48,2015-06-11T16:48:00,,Adoption,Spayed Female,30.69532699,-97.71059371,44.95714286,*Sarah,,
115.0,5 months,A673387,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-09-23,3/2/2014 16:43,2014-03-02T16:43:00,,Adoption,Neutered Male,30.33977396,-97.49226594,22.95664683,Alex,,
116.0,2 years,A723147,Dog,Pit Bull Mix,Brown/Black,2014-03-27,4/6/2016 16:47,2016-04-06T16:47:00,,Return to Owner,Spayed Female,30.32836625,-97.34589456,105.9570437,Major,,
117.0,2 years,A718636,Dog,Pit Bull Mix,Brown Brindle/White,2014-01-03,4/1/2016 15:06,2016-04-01T15:06:00,,Adoption,Neutered Male,30.66066978,-97.67683189,117.089881,*Hans Knut,,
118.0,1 year,A685713,Other,Armadillo Mix,Gray,2013-08-11,8/12/2014 10:36,2014-08-12T10:36:00,Medical,Euthanasia,Unknown,30.52182784,-97.25263933,52.34880952,,,
119.0,2 months,A706329,Cat,Domestic Shorthair Mix,Brown Tabby,2015-06-05,8/30/2015 16:24,2015-08-30T16:24:00,Offsite,Adoption,Spayed Female,30.64848189,-97.69971671,12.38333333,*Flopsy,,
120.0,7 years,A743006,Dog,Dachshund Longhair Mix,Blue Tick,2010-02-02,2/2/2017 18:53,2017-02-02T18:53:00,,Return to Owner,Intact Male,30.38624168,-97.36200488,365.3981151,Elmer,,
121.0,5 months,A750619,Dog,Labrador Retriever Mix,Blue,2016-12-07,6/2/2017 18:26,2017-06-02T18:26:00,,Adoption,Spayed Female,30.31434761,-97.68780188,25.39543651,Carrie,,
122.0,6 years,A740541,Cat,Domestic Medium Hair Mix,Black/White,2010-12-19,12/19/2016 18:44,2016-12-19T18:44:00,,Return to Owner,Neutered Male,30.58501204,-97.49484296,313.2543651,Georgie Boy,,
123.0,1 year,A669638,Dog,Pit Bull Mix,Tan/White,2012-12-23,7/29/2014 12:58,2014-07-29T12:58:00,Partner,Transfer,Neutered Male,30.27938659,-97.3127575,83.36289683,Rufus,,
124.0,4 years,A549989,Cat,Domestic Shorthair Mix,Black/White,2009-05-09,10/12/2013 18:58,2013-10-12T18:58:00,,Adoption,Neutered Male,30.65917154,-97.65202046,231.1128968,Bert,,
125.0,1 year,A710766,Other,Bat Mix,Brown,2014-08-27,8/27/2015 14:23,2015-08-27T14:23:00,Rabies Risk,Euthanasia,Unknown,30.36045071,-97.72157978,52.22847222,,,
126.0,2 years,A691714,Dog,Chihuahua Shorthair Mix,Tricolor,2012-11-08,2/23/2015 13:25,2015-02-23T13:25:00,Partner,Transfer,Neutered Male,30.71708329,-97.55459904,119.6512897,Archer,,
127.0,6 years,A645075,Dog,Labrador Retriever Mix,Chocolate,2008-01-02,11/25/2014 10:40,2014-11-25T10:40:00,Aggressive,Euthanasia,Intact Male,30.29971277,-97.277658,359.9206349,Bear,,
128.0,2 years,A731542,Dog,Pit Bull Mix,Brown Brindle/White,2014-07-23,9/2/2016 17:49,2016-09-02T17:49:00,,Return to Owner,Neutered Male,30.54334757,-97.73988026,110.3917659,Roscoe,,
129.0,1 month,A745619,Dog,English Bulldog Mix,Black/White,2017-01-21,3/23/2017 16:08,2017-03-23T16:08:00,Partner,Transfer,Intact Female,30.73843869,-97.3251826,8.81031746,,,
130.0,2 years,A705676,Dog,Chihuahua Shorthair Mix,White/Tan,2013-06-20,7/4/2015 13:31,2015-07-04T13:31:00,,Adoption,Spayed Female,30.62075983,-97.30352288,106.3661706,*Lacey,,
131.0,1 year,A692656,Dog,Labrador Retriever Mix,Yellow,2013-11-24,12/4/2014 17:26,2014-12-04T17:26:00,Partner,Transfer,Neutered Male,30.70002536,-97.45803038,53.67519841,Gordo,,
